Type of product,Sub industry,Industry,Generic product type,Search Modifiers
E6-Food-safe surface sanitizers,Hotels,Horeca,Disinfectant and cleaner,gogreen:Surface Cleaner and Disinfectant; officesupply:surface sanitizer
E6-Non-slip floor cleaner for safety,Hotels,Horeca,Floor cleaner,gogreen:floor cleaner; officesupply:floor cleaner
E6-Floor degreaser for kitchen areas,Hotels,Horeca,Floor cleaner,
E6-Grease trap odor treatment,Hotels,Horeca,Odor eliminator,
E6-Refrigerator and freezer deodorizer,Hotels,Horeca,Odor eliminator,
E6-Stainless steel polish for equipment and fixtures,Hotels,Horeca,Stainless steel cleaner,gogreen:Box Metal and stainless-steel cleaner and polisher;officesupply:stainless steel cleaner
E6-Metal polish for cookware and utensils,Hotels,Horeca,Stainless steel cleaner,gogreen:Box Metal and stainless-steel cleaner and polisher
E6-Glass polish for display cases and windows,Hotels,Horeca,Glass cleaner,fine:Glass cleaner; gogreen:glass cleaner; officesupply:glass cleaner
E7-Air freshener,Hotels,Horeca,Air freshener,officesupply:air freshener
E7-Air deodorizer,Hotels,Horeca,Air freshener,
E7-Odor eliminator,Hotels,Horeca,Odor eliminator,
E8-Stainless steel polish and cleaner for fixtures and fittings,Hotels,Horeca,Stainless steel cleaner,gogreen:Box Metal and stainless-steel cleaner and polisher
E8-Escalator cleaner,Hotels,Horeca,General purpose cleaner,
E8-Escalator tread brightener,Hotels,Horeca,Surface lubricant and protectant,
E9-Epoxy cleaner for heavy-traffic parking lot area,Hotels,Horeca,Epoxy cleaner,
E10-HVAC system cleaner,Hotels,Horeca,Disinfectant and cleaner,gogreen:Air Conditioner and Coil Cleaner 
E10-HVAC system deodorizer,Hotels,Horeca,Odor eliminator,
E11-Stain remover for laundry,Hotels,Horeca,Stain remover,gogreen:stain remover
